DATE,EXPGE
2006-12-01,3737.6
2007-01-01,3618.6
2007-02-01,3662.2
2007-03-01,4567.3
2007-04-01,3975.4
2007-05-01,3989.2
2007-06-01,4274.6
2007-07-01,3835.8
2007-08-01,4325.0
2007-09-01,4346.1
2007-10-01,4522.9
2007-11-01,4230.5
2007-12-01,4071.9
2008-01-01,4064.5
2008-02-01,4631.0
2008-03-01,4630.2
2008-04-01,4760.7
2008-05-01,4804.5
2008-06-01,4960.0
2008-07-01,4747.1
2008-08-01,4676.9
2008-09-01,4281.0
2008-10-01,4763.1
2008-11-01,4366.2
2008-12-01,3820.3
2009-01-01,3555.6
2009-02-01,3798.2
2009-03-01,3771.2
2009-04-01,3223.3
2009-05-01,3656.2
2009-06-01,3181.3
2009-07-01,3285.1
2009-08-01,3467.9
2009-09-01,3633.3
2009-10-01,4103.7
2009-11-01,3608.7
2009-12-01,4021.6
2010-01-01,3826.7
2010-02-01,3488.0
2010-03-01,4242.6
2010-04-01,3686.3
2010-05-01,3799.0
2010-06-01,4118.1
2010-07-01,3790.5
2010-08-01,4057.4
2010-09-01,4108.0
2010-10-01,4374.1
2010-11-01,4567.3
2010-12-01,4097.3
2011-01-01,3688.7
2011-02-01,3846.2
2011-03-01,4394.4
2011-04-01,4187.3
2011-05-01,4083.3
2011-06-01,4378.4
2011-07-01,3641.4
2011-08-01,4263.7
2011-09-01,4015.6
2011-10-01,4505.4
2011-11-01,4223.9
2011-12-01,4065.8
2012-01-01,3666.4
2012-02-01,4189.6
2012-03-01,4599.2
2012-04-01,4183.1
2012-05-01,4226.6
2012-06-01,4246.6
2012-07-01,3628.8
2012-08-01,4053.8
2012-09-01,4156.5
2012-10-01,4116.8
2012-11-01,3934.2
2012-12-01,3801.4
2013-01-01,3788.5
2013-02-01,3841.9
2013-03-01,4412.7
2013-04-01,3795.4
2013-05-01,4024.4
2013-06-01,3899.9
2013-07-01,3616.4
2013-08-01,4163.4
2013-09-01,3751.6
2013-10-01,4045.5
2013-11-01,4394.8
2013-12-01,3629.0
2014-01-01,3836.2
2014-02-01,4311.5
2014-03-01,4646.8
2014-04-01,4092.2
2014-05-01,4060.6
2014-06-01,4371.1
2014-07-01,3966.1
2014-08-01,4224.0
2014-09-01,4077.1
2014-10-01,3975.9
2014-11-01,4002.4
2014-12-01,3806.5
2015-01-01,3751.8
2015-02-01,4072.0
2015-03-01,4668.5
2015-04-01,4276.5
2015-05-01,4030.9
2015-06-01,4065.5
2015-07-01,4069.5
2015-08-01,3921.4
2015-09-01,4252.7
2015-10-01,4750.2
2015-11-01,4110.3
2015-12-01,4001.5
2016-01-01,3697.3
2016-02-01,4188.3
2016-03-01,4419.3
2016-04-01,3997.6
2016-05-01,4078.0
2016-06-01,3973.9
2016-07-01,4003.1
2016-08-01,4175.5
2016-09-01,4309.6
2016-10-01,4274.1
2016-11-01,3881.2
2016-12-01,4364.2
