DATE,EXPMX
2006-12-01,10041.1
2007-01-01,10683.5
2007-02-01,9980.0
2007-03-01,11493.5
2007-04-01,10893.2
2007-05-01,11956.0
2007-06-01,11561.2
2007-07-01,11188.7
2007-08-01,12282.9
2007-09-01,11364.6
2007-10-01,12330.2
2007-11-01,12127.2
2007-12-01,10057.0
2008-01-01,11990.6
2008-02-01,11961.9
2008-03-01,11793.1
2008-04-01,12492.9
2008-05-01,12297.9
2008-06-01,13383.3
2008-07-01,13800.8
2008-08-01,13749.7
2008-09-01,12789.2
2008-10-01,14875.5
2008-11-01,11944.7
2008-12-01,10140.5
2009-01-01,9781.1
2009-02-01,9262.5
2009-03-01,10024.7
2009-04-01,9571.4
2009-05-01,9397.6
2009-06-01,10546.9
2009-07-01,11130.9
2009-08-01,11072.4
2009-09-01,11576.5
2009-10-01,12731.0
2009-11-01,12013.6
2009-12-01,11783.4
2010-01-01,11522.3
2010-02-01,11715.4
2010-03-01,14201.4
2010-04-01,13248.7
2010-05-01,13279.3
2010-06-01,13891.8
2010-07-01,13210.3
2010-08-01,14177.6
2010-09-01,13953.4
2010-10-01,14905.5
2010-11-01,14915.7
2010-12-01,14643.3
2011-01-01,14850.3
2011-02-01,13908.7
2011-03-01,17337.9
2011-04-01,16032.6
2011-05-01,16811.8
2011-06-01,16792.8
2011-07-01,16045.4
2011-08-01,17764.2
2011-09-01,17095.3
2011-10-01,17633.0
2011-11-01,17664.3
2011-12-01,16352.3
2012-01-01,17011.2
2012-02-01,16935.9
2012-03-01,19006.9
2012-04-01,17208.6
2012-05-01,18426.9
2012-06-01,17476.0
2012-07-01,17539.9
2012-08-01,19219.0
2012-09-01,17457.4
2012-10-01,20453.8
2012-11-01,18764.0
2012-12-01,16375.4
2013-01-01,17902.5
2013-02-01,17703.2
2013-03-01,18092.7
2013-04-01,19794.6
2013-05-01,19226.2
2013-06-01,17986.3
2013-07-01,19581.8
2013-08-01,19191.1
2013-09-01,18023.0
2013-10-01,21065.3
2013-11-01,19290.4
2013-12-01,18097.2
2014-01-01,19122.5
2014-02-01,18444.0
2014-03-01,19964.2
2014-04-01,19847.5
2014-05-01,20998.4
2014-06-01,20087.3
2014-07-01,20770.0
2014-08-01,20335.6
2014-09-01,20007.0
2014-10-01,22306.8
2014-11-01,19662.3
2014-12-01,18785.7
2015-01-01,19100.7
2015-02-01,18108.6
2015-03-01,19835.7
2015-04-01,19998.4
2015-05-01,19606.6
2015-06-01,20448.7
2015-07-01,21074.3
2015-08-01,19536.7
2015-09-01,19486.1
2015-10-01,21163.6
2015-11-01,18869.0
2015-12-01,18516.8
2016-01-01,18065.8
2016-02-01,18226.3
2016-03-01,19338.8
2016-04-01,19385.1
2016-05-01,19040.6
2016-06-01,19556.3
2016-07-01,18303.7
2016-08-01,20282.6
2016-09-01,19845.8
2016-10-01,20211.4
2016-11-01,19592.5
2016-12-01,19110.4
