DATE,IMPGE
2006-12-01,7922.9
2007-01-01,6853.5
2007-02-01,6991.0
2007-03-01,8351.8
2007-04-01,7858.3
2007-05-01,7702.6
2007-06-01,7734.2
2007-07-01,8384.6
2007-08-01,8480.1
2007-09-01,7205.4
2007-10-01,8486.8
2007-11-01,8114.5
2007-12-01,8001.3
2008-01-01,7078.5
2008-02-01,7978.7
2008-03-01,9157.4
2008-04-01,9217.1
2008-05-01,8403.0
2008-06-01,8959.1
2008-07-01,9229.9
2008-08-01,7968.9
2008-09-01,7131.9
2008-10-01,8084.8
2008-11-01,7158.1
2008-12-01,7129.2
2009-01-01,5213.6
2009-02-01,5640.1
2009-03-01,5948.8
2009-04-01,5458.0
2009-05-01,4932.8
2009-06-01,5513.5
2009-07-01,6539.2
2009-08-01,5775.1
2009-09-01,5670.6
2009-10-01,6894.2
2009-11-01,6948.5
2009-12-01,6963.9
2010-01-01,5007.7
2010-02-01,5750.2
2010-03-01,7204.8
2010-04-01,6678.9
2010-05-01,6795.2
2010-06-01,6798.5
2010-07-01,7245.4
2010-08-01,7479.6
2010-09-01,6767.0
2010-10-01,7692.0
2010-11-01,7699.8
2010-12-01,7331.4
2011-01-01,6997.8
2011-02-01,7023.6
2011-03-01,9065.0
2011-04-01,8030.8
2011-05-01,7864.2
2011-06-01,8086.2
2011-07-01,7954.0
2011-08-01,8843.6
2011-09-01,8188.9
2011-10-01,8704.8
2011-11-01,8864.1
2011-12-01,9061.5
2012-01-01,7693.9
2012-02-01,7933.3
2012-03-01,10209.4
2012-04-01,8867.7
2012-05-01,9014.8
2012-06-01,8462.6
2012-07-01,9116.0
2012-08-01,9729.5
2012-09-01,8951.3
2012-10-01,9664.7
2012-11-01,10180.1
2012-12-01,9402.5
2013-01-01,7722.9
2013-02-01,8520.3
2013-03-01,9714.0
2013-04-01,9767.2
2013-05-01,9629.0
2013-06-01,8794.8
2013-07-01,9970.3
2013-08-01,9490.9
2013-09-01,10038.5
2013-10-01,10884.5
2013-11-01,10384.0
2013-12-01,9425.6
2014-01-01,9129.5
2014-02-01,8909.8
2014-03-01,10689.1
2014-04-01,11073.9
2014-05-01,10840.3
2014-06-01,9732.4
2014-07-01,10502.9
2014-08-01,11339.3
2014-09-01,10269.7
2014-10-01,10930.8
2014-11-01,10565.8
2014-12-01,10195.5
2015-01-01,9311.2
2015-02-01,9354.5
2015-03-01,10853.7
2015-04-01,10830.7
2015-05-01,10206.2
2015-06-01,10557.1
2015-07-01,10693.8
2015-08-01,10926.1
2015-09-01,9815.1
2015-10-01,11373.6
2015-11-01,10175.9
2015-12-01,10722.6
2016-01-01,8239.4
2016-02-01,8698.0
2016-03-01,10821.9
2016-04-01,9865.6
2016-05-01,9771.3
2016-06-01,9418.0
2016-07-01,9387.1
2016-08-01,10216.7
2016-09-01,9331.5
2016-10-01,9261.6
2016-11-01,9542.7
2016-12-01,9673.5
