DATE,IMPMX
2006-12-01,15072.1
2007-01-01,15373.4
2007-02-01,15142.8
2007-03-01,18190.6
2007-04-01,16254.9
2007-05-01,18018.9
2007-06-01,17977.4
2007-07-01,16896.9
2007-08-01,19115.3
2007-09-01,17810.1
2007-10-01,19855.8
2007-11-01,19356.1
2007-12-01,16721.8
2008-01-01,17054.5
2008-02-01,17674.5
2008-03-01,17707.1
2008-04-01,19364.9
2008-05-01,18837.2
2008-06-01,19179.9
2008-07-01,19238.0
2008-08-01,19522.8
2008-09-01,17926.2
2008-10-01,19695.7
2008-11-01,15471.6
2008-12-01,14269.1
2009-01-01,12464.9
2009-02-01,12379.8
2009-03-01,13929.6
2009-04-01,13715.7
2009-05-01,13317.5
2009-06-01,14011.5
2009-07-01,14081.7
2009-08-01,15060.5
2009-09-01,16130.0
2009-10-01,17289.9
2009-11-01,17185.8
2009-12-01,17087.5
2010-01-01,16089.4
2010-02-01,16459.3
2010-03-01,20089.5
2010-04-01,18594.2
2010-05-01,19419.2
2010-06-01,20049.1
2010-07-01,18213.8
2010-08-01,20252.2
2010-09-01,19908.0
2010-10-01,21024.0
2010-11-01,20530.3
2010-12-01,19356.7
2011-01-01,19606.4
2011-02-01,19053.6
2011-03-01,23269.5
2011-04-01,21359.7
2011-05-01,22970.2
2011-06-01,22714.8
2011-07-01,21091.3
2011-08-01,23152.5
2011-09-01,22303.5
2011-10-01,22853.7
2011-11-01,23146.8
2011-12-01,21351.7
2012-01-01,21503.9
2012-02-01,22617.2
2012-03-01,25115.0
2012-04-01,22757.4
2012-05-01,24815.0
2012-06-01,23513.9
2012-07-01,22526.3
2012-08-01,23763.8
2012-09-01,22151.1
2012-10-01,24817.6
2012-11-01,23731.3
2012-12-01,20281.1
2013-01-01,21555.7
2013-02-01,22070.2
2013-03-01,23152.3
2013-04-01,24364.1
2013-05-01,24484.3
2013-06-01,22927.6
2013-07-01,23545.9
2013-08-01,23988.3
2013-09-01,23303.3
2013-10-01,25314.9
2013-11-01,23723.3
2013-12-01,22126.1
2014-01-01,22021.4
2014-02-01,22445.2
2014-03-01,24943.7
2014-04-01,24577.8
2014-05-01,25444.7
2014-06-01,25134.2
2014-07-01,25308.8
2014-08-01,24849.7
2014-09-01,25032.9
2014-10-01,27563.7
2014-11-01,24384.1
2014-12-01,24033.2
2015-01-01,22256.0
2015-02-01,22711.8
2015-03-01,25648.4
2015-04-01,24701.8
2015-05-01,24482.9
2015-06-01,26920.6
2015-07-01,24784.2
2015-08-01,24695.7
2015-09-01,25330.3
2015-10-01,27672.0
2015-11-01,24050.2
2015-12-01,23154.0
2016-01-01,22400.7
2016-02-01,23191.8
2016-03-01,24744.1
2016-04-01,25098.4
2016-05-01,24842.5
2016-06-01,24906.6
2016-07-01,23025.9
2016-08-01,25557.2
2016-09-01,25089.1
2016-10-01,26405.4
2016-11-01,25385.5
2016-12-01,23503.8
